date,state,location,fuel_type,price_cpl
2025-12-16,TAS,Hobart,p95,174.5
2025-12-16,TAS,Hobart,p98,190.5
2025-12-16,TAS,Hobart,ulp91,164.0
2025-12-16,VIC,Geelong,diesel,160.1
2025-12-16,VIC,Geelong,p95,165.4
2025-12-16,VIC,Geelong,p98,180.1
2025-12-16,VIC,Geelong,ulp91,157.4
2025-12-16,VIC,Melbourne,diesel,160.1
2025-12-16,VIC,Melbourne,e10,158.6
2025-12-16,VIC,Melbourne,p95,165.4
2025-12-16,VIC,Melbourne,p98,180.1
2025-12-16,VIC,Melbourne,ulp91,157.4
2025-12-16,WA,Broome,diesel,191.5
2025-12-16,WA,Broome,p95,212.9
2025-12-16,WA,Broome,ulp91,203.0
2025-12-16,WA,Cocos Island,diesel,210.9
2025-12-16,WA,Cocos Island,p95,375.5
2025-12-16,WA,Dampier,diesel,181.3
2025-12-16,WA,Esperance,diesel,164.2
2025-12-16,WA,King Bay,diesel,181.3
2025-12-16,WA,Perth,diesel,160.5
2025-12-16,WA,Perth,p95,171.4
2025-12-16,WA,Perth,p98,185.9
2025-12-16,WA,Perth,ulp91,159.2
2025-12-16,WA,Port Hedland,diesel,188.8
2025-12-16,WA,Port Hedland,ulp91,186.3
2025-12-17,NSW,Newcastle,diesel,160.3
2025-12-17,NSW,Sydney,diesel,160.2
2025-12-17,NSW,Sydney,e10,160.2
2025-12-17,NSW,Sydney,p95,167.9
2025-12-17,NSW,Sydney,p98,182.0
2025-12-17,NSW,Sydney,ulp91,159.8
2025-12-17,NT,Darwin,diesel,165.9
2025-12-17,NT,Darwin,p95,173.6
2025-12-17,NT,Darwin,ulp91,164.3
2025-12-17,QLD,Brisbane,b5,167.5
2025-12-17,QLD,Brisbane,diesel,159.0
2025-12-17,QLD,Brisbane,e10,159.2
2025-12-17,QLD,Brisbane,p95,166.0
2025-12-17,QLD,Brisbane,p98,180.3
2025-12-17,QLD,Brisbane,ulp91,158.0
2025-12-17,QLD,Cairns,diesel,164.5
2025-12-17,QLD,Cairns,p95,178.4
2025-12-17,QLD,Cairns,ulp91,164.3
2025-12-17,QLD,Gladstone,diesel,162.8
2025-12-17,QLD,Gladstone,p95,171.9
2025-12-17,QLD,Gladstone,ulp91,163.8
2025-12-17,QLD,Mackay,diesel,162.9
2025-12-17,QLD,Mackay,ulp91,164.4
2025-12-17,QLD,Townsville,diesel,164.0
2025-12-17,QLD,Townsville,p95,173.6
2025-12-17,QLD,Townsville,p98,190.7
2025-12-17,QLD,Townsville,ulp91,163.7
2025-12-17,QLD,Weipa,diesel,173.7
2025-12-17,QLD,Weipa,ulp91,186.8
2025-12-17,SA,Adelaide,diesel,160.8
2025-12-17,SA,Adelaide,e10,160.9
2025-12-17,SA,Adelaide,p95,168.5
2025-12-17,SA,Adelaide,p98,183.8
2025-12-17,SA,Adelaide,ulp91,159.1
2025-12-17,SA,Port Lincoln,diesel,167.8
2025-12-17,SA,Port Lincoln,p98,192.9
2025-12-17,SA,Port Lincoln,ulp91,165.5
2025-12-17,TAS,Devonport,diesel,166.4
2025-12-17,TAS,Devonport,p95,174.2
2025-12-17,TAS,Devonport,ulp91,163.7
2025-12-17,TAS,Hobart,diesel,165.8
2025-12-17,TAS,Hobart,p95,174.3
2025-12-17,TAS,Hobart,p98,190.2
2025-12-17,TAS,Hobart,ulp91,163.7
2025-12-17,VIC,Geelong,diesel,159.3
2025-12-17,VIC,Geelong,p95,165.2
2025-12-17,VIC,Geelong,p98,179.8
2025-12-17,VIC,Geelong,ulp91,157.2
2025-12-17,VIC,Melbourne,diesel,159.3
2025-12-17,VIC,Melbourne,e10,158.3
2025-12-17,VIC,Melbourne,p95,165.2
2025-12-17,VIC,Melbourne,p98,179.8
2025-12-17,VIC,Melbourne,ulp91,157.2
2025-12-17,WA,Broome,diesel,190.7
2025-12-17,WA,Broome,p95,212.7
2025-12-17,WA,Broome,ulp91,202.8
2025-12-17,WA,Cocos Island,diesel,210.3
2025-12-17,WA,Cocos Island,p95,375.3
2025-12-17,WA,Dampier,diesel,180.6
2025-12-17,WA,Esperance,diesel,163.5
2025-12-17,WA,King Bay,diesel,180.6
2025-12-17,WA,Perth,diesel,159.7
2025-12-17,WA,Perth,p95,171.2
2025-12-17,WA,Perth,p98,185.6
2025-12-17,WA,Perth,ulp91,159.0
2025-12-17,WA,Port Hedland,diesel,188.1
2025-12-17,WA,Port Hedland,ulp91,186.1
2025-12-18,NSW,Newcastle,diesel,159.3
2025-12-18,NSW,Sydney,diesel,159.2
2025-12-18,NSW,Sydney,e10,159.8
2025-12-18,NSW,Sydney,p95,167.6
2025-12-18,NSW,Sydney,p98,181.7
2025-12-18,NSW,Sydney,ulp91,159.4
